オッズパーク いちいちIDとかを入れないと入れない前のアプリの方が使い勝手が良かった。
アップデートしてから… アップデートしてから毎日最初に開く時だけ新規登録画面が出て、一度終了して再度開くと普通の画面になる。
仕様変更ですか アップデート後からなのか、毎回ログインを求められるようになりました。正直、改悪だと思います。iphoneで使用していますが、タッチIDかフェイスIDでログインするわけで、他人が使える可能性は低いはずです。改善を求めます。
"Apple Watchでは・・・" "スマホで使う分には良いですが、Apple Watchで使う際、しょっちゅうiPhoneでログインが必要とのメッセージが出て、全然スマートに使えません。(iPhoneではログインしてるのに)
しかも、使っているのはセルラーモデルなのに。
それ以外では、結構便利です。
結局iPhoneを出す事も多く、まだ使い勝手は微妙な感じです。"
個人的に微妙 "他のアプリで家計簿をつけています。
PayPayで支払うといくらか戻ってきますが、いつ戻ってくるかわかりません。
獲得した時に通知があればわかりやすいですが、アプリで毎回確認しないとわからないので、いつの分を家計簿につけたかどうかわからなくなって毎回お金が合わなくなってしまいました。
なので自然と使わなくなりました。
毎回獲得した日に通知が来るようになれば使うかもしれないです。"
使えないアプリ 半年ぐらい使ったけど、3回に1回の割合で使えない！レジに提示しょうとすると、ログインを求められる、バーコードが出てこない。コンビニのレジでモタモタすることが多くて、並んでいる他の客の迷惑になっている。我慢も限度で明日から使うのを止めます。交通系が一番安心して使えるよ😢
三菱UFJ銀行でのオートチャージできない "auユーザーです。
paypayは色々な店で使えるけど、三菱UFJ銀行だけがオートチャージ登録できない。
銀行口座なんて増やしたくないし、一々セブンでチャージも煩わしいから使うの諦めました。
三菱UFJ銀行が登録できるようになったら使おうと思います。"
入金方法増やして欲しい。 銀行口座なくても入金できる方法が欲しいです！レジで入金できるとか、iTunesで入金できるとか増やして欲しいです
ボーナスの運用方法が謎 "ボーナスは運用しないとなくなります
注意して！！"
アップデートが多すぎる キャリア特典を受け取るためにインストールしていますが、アップデートが多すぎて鬱陶しいです。色々機能を追加されても使わないし、セキュリティ面だけしっかり対応してもらえれば充分。
いマフラーかあみえ、まあめ "かちかたてあ😁さわた^_^たなまらやないかと甘あれ す9人でになややか、やや"
SMS認証が出来ない、、 SMS認証が出来ず、ログインできません。。
なんとかしてくれ… "ボーナス運用やってるんですが…。

損益が下がり続けている時はボーナスを追加せずに置いておきたいのですが、買い物をした時にPayPayの支払いの仕様上。マネーやマネーライトよりボーナスの方から優先的に支払いに使用されてしまうので、ボーナスをとっておくことが出来ません。

おかげで、900円まで貯めたボーナスを誤って買い物で使用してしまいました。

頭まっしろになりましたよ…。

ボーナスを支払いに使用せずに済む機能とか追加して欲しいです。

マジでお願いします"
他はいいのに残念 無料で読める漫画もとても面白く、毎週アプリでジャンプが読めるのはお手軽でとてもいい。しかし、他のアプリを開いて戻るとホーム画面に戻されるところが本当に不便でなりません。なんでそんなに直ぐに戻るんですかね？読んでる最中に連絡が来て返してまた読もうと思ったらホームに戻されるのでまた開き直さなければなりません。アプリで快適に読みたくてお金を払って読んでいるのだからそこは早く改善してください。
直ぐ落ちる "起動すると、起動し終わった途端に落ちます。
そうして「起動→落ちる→起動→落ちる」で15分くらい費やしたこともあります。
端末のせいかもしれませんが、読んでいる時間より起動待ち時間の方が長い気がします。
ジャンプもダウンロード中に落ちるので何度も起動し直す必要があり、終わるまで目が離せません。"
改善案 "過去のジャンプを読んでいると更新の都度トップページに戻され、毎回また過去のジャンプを探しに行くという繰り返しをさせられる。前回のページ保存しておいてくれよと。

あと、課金してジャンプ読んでるのに広告に邪魔される。フリー作品じゃないのだから広告〔または他の作品紹介〕アップさせないでほしい。邪魔"
ジャンプ "動画見ても漫画読めません。
コインでお返し待ってます"
質低下 "マンガの質が、酷い
見るにたえない"
固まる すぐに固まって。しまう
アップデートしたら "アップデートしたら開けなくなりました
赤い画面で止まり強制終了します"
バグを修正してバグを増やす 前まで起動できていたが、最新のアップデートをしてから起動後赤い画面が数秒表示されてクラッシュするようになった。
読んでる途中で携帯を閉じてしまうとダメ 主婦です。読んでる途中で携帯を閉じてしまうと、またコイン消費しないと見れなくなってしまうのが残念です。
ダウンロード済み書籍が分かりにくい "ジャンプのバックナンバーの一覧画面で、購入済みなのは一覧に表示されてるが、ダウンロード済みかどうかは一冊一冊確認しないとわからないので不便すぎる。
あと他の電子書籍アプリと比べてダウンロードがものすごく遅い。"
最近 ボーナスコイン付与の広告が見れないし、見れたとして確認しても付与されてないのでコインが増えない…
使いづらい 読んでいる最中にいきなり落ち、再び起動するときに認証し直すからそのときに地下鉄とかで電波が悪いと見られなくなる。購入済みで落としてるやつまで認証しないと見られないってアホですか？金とって好きなときに見られないのかよ。使うメリットが非常に薄い。仕様をちゃんと考えてください。その点の改善を求めます。
運営がな〜 漫画は当たりハズレあるがだいたい面白い
ボーナスコイン少な過ぎ。 まんがパークは４話は読めるよ
表示されない。 ずっと表示されないままです。
保存機能改悪 "読んでいる途中でアプリから離れた場合、以前までは開いていたページに戻れたのですがアップデートしてからは必ずトップに戻されるようになりまた最初から探し出さないといけなくなりました。
さらに戻る度にポップアップで宣伝が表示されるようになりうんざりです。
アプリから離れても読んでいる途中から再開できるようになることを強く求めます。"
"漫画は星5 アプリは星1" "漫画自体はどれも面白いのですが、1話読むごとに30コインかかり、しかも購入ではなくレンタル。
それ以上に酷いのはアプリが落ちたり、漫画が読めなかったりなどの不具合。通信環境が悪いと表示されるが明らかに問題があるのはアプリでした。夜中は特に酷いです。気持ちよく面白い漫画たちを読みたいので早急に改善をお願いします。"
ジャンプコイン "なぜジャンプは一冊270コイン必要なのに、買えるコインは250コインなんだ？？
意味がわからない。"
アップデート アップデートしたら開けない~
面白いのに打ち切り "明らかに、調子付いてきたものが打ち切りに合う
ロマンティックキラーとかは、押しジャン一位だったのに打ち切りとしか思えない終わり方するし、いい作品が多いいだけにものすごく残念"
"iPhone8 ios13.4.1だと落ちる" "定期購読してるジャンプのバックナンバーや
ワンピース等の過去作品が多いものだと選択している間にアプリが落ちてしまいます。

また最近だと唯一iPhoneが熱を凄くもって
バッテリー消費が激しいアプリになりました…。

アプリが落ちる部分に関してはお金を払ってる部分なのでどうにかしてほしいです。"
いいねシステムが微妙 "週刊ジャンプの流れを汲みながらも、ジャンプラ独特の漫画が読めます。

他社のアプリではコインが必要だったりしますが、ジャンプラ連載作品なら初回無料は有難いです^ ^
電子ではなく紙媒体で読みたい！と思わせる良質な漫画も多いです。

難を言えば、「いいね」ボタンを押さなければコメントを送れないところでしょうか。
クオリティ低くて総ツッコミ受けてる漫画が結局いいね数多くて上位に入って、面白い作品が埋もれてるので。
編集部はいいね数だけで、コメント見てないのでは？

あとは最近の新連載が、殺人とかエロ系に振り切ってるのが少し気になります。ジャンプラの個性として売り出してきてるのかと思いますが、特にホラーサスペンス系を初回コイン付与されるのは…^^;"
アプリの中身には不満は無いが… "アプリ自体はいつも楽しく使わせて頂いておりますが、

先日iPhoneを充電器に接続するのを忘れて寝てしまい、朝起きると10%程バッテリーが減っていました。まだ変えて少ししか経っていないiPhoneで、今までは一晩放置でも1～5%程しか減らなかったのにも関わらず、いきなり10%も減るようになり…
原因を探ってみると、このアプリが21時間もバックグラウンドで起動し続けていました…
バックグラウンドの設定で、更新を許可しない設定にしていたのにも関わらず、なぜかフルで起動していました…

残念ながらアプリ消去しました"
少ない 無料のが少ない
おい 開けない
タイトルが豊富なのはいいと思います "課金したコインで買っても一話読みだと時間制限があるとは知りませんでした。
勉強不足だったとは思いますが、それなら他のサービスを利用しようと思います。"
ダウンロードにやたら時間かかる サクサク読める時もあるが永遠にロードしてる時があり有料のサービスとしては我慢できないレベル
おもしろい漫画が多い！ でも無料で読める数が少ない。。。
トップページに戻ってしまう 読んでいる途中でメールなど別APPをみたり、一度スマホを置いて、再び読もうとするとトップページに戻っている。広告やいいねしてねの案内が多い。
重すぎ 定期購読で金だけとって全然読めない。優先しろ
購入済なのに 定期購読がエラーが起きて読めません。
定期なのに 定期なのに毎度通常購入ボタンを押さないと読めない、、通信エラーが多いページの読込が遅い。
不便機能 読んだページに戻れない。
おもんな おもんな
不具合が多い 無限読み込み、強制終了が多い。コンテンツは良いが、使い勝手が酷すぎる
月額での購読は損？ 合併で月に3回しか出ない時も980円だと損しますよね。合併の時は繰越とかにして欲しいです。皆さん気をつけてくださいね。定額の方が楽だしお得だと思いきや年間でみたら下手したら損してる可能性もありますよ。
アプリが落ちる "定期購読をしており、バックナンバーのジャンプを読もうとするとすぐにアプリが落ちるからストレスしかたまらない
改善を求めます"
漫画 一話30円は高い
定期購読について "定期購読してるんですが、今月、コロナの影響で一週分減りましたよね。
合併号といって次の週に出ましたが、各漫画2話分ずつのるわけでもないのですが、その分の返金とか無いんですか？"
バグ多過ぎ 読み込みも時間かかるし、ゼブラックはそんなことないのに何でジャンプラはこんな重いんだ
初回無料を間違えて押してしまう "初回無料を間違えて押してしまう。
多分そうなるようにしてあると思う。"
読んでた場所から再開できない、、 他の見習って
すぐに落ちます "漫画を読んでて途中でラインなどを返して再び開くと落ちます
ほぼ必ず落ちます"
なぜだぁぁぁぁぁぁぁあぁぁぁあぃァァァァァアァ "ToLOVEるが消えた（だいぶ前だけど）17 18巻買ったのに他の巻が買えん"
種類は豊富、でも、、、 "ジャンプの種類が豊富で見たいのがたくさんあり、満足してたのですが、あるジャンプ作品全巻購入したのに、次見ようとしたら、また30コイン購入画面になりました。
どうにかしてくれませんか？
直らないのなら、アンインストール考えています。
よろしくお願いします。"
ポップアップはやめて "起動の度に出るポップアップがうざすぎる。
せめて、ジャンプ＋のタブをクリックしたらとかにして貰えないでしょうか？
専用の電子書籍リーダーアプリとして別けてもらえないでしょうか？

また、通信が不安定になると、ダウンロードしないページがでてきたり、落ちたりする。
その後、続きから読むを選択すると何故か決まって次回の話になっている。
あと、ピンチアウトしてからスライドすると決まってページ送りになる…。フリックしてねー。"
は なんで１回コイン使って読んだやつまたコイン使わなきゃいけないんだよ。けちかよ。
ちょっと不安定 "本誌連載で良さそうなクオリティの高いマンガがたくさん無料で読める、非常にありがたいサービス。作者に申し訳なさを感じるレベル。

残念なのはアプリが不安定なところがあり、読み込み途中でフリーズすふことがしばしば。回線の混雑が原因かと思ったが、ユーザが少なそうな早朝でも起こる。

4月20日追記
デザインが変わって作品画面からメイン画面へ戻れなくなった。iPhone11だと戻るボタンにタッチできない。"
コメント投稿できない コメント投稿ができない。もし過去の批判レビューを根拠に自分のコメント機能を規制しているのだとしたら事後検閲にあたるのではないか。批判レビューにはそれなりの自信と論拠をもって、論理的に、誹謗中傷表現を使わない事を意識したあくまでも真っ当な批判だと自負しているつもりであるが。
反応がとにかく悪い "タップやスワイプなどの操作をしてから、それに対応してマンガを開く、メニューを出すなどの反応がとても遅い。遅すぎる。ワンテンポどころではない。
操作が悪かったのかと思って、もう一回操作すると、遅れてきた反応に対しての操作になり、閉じてしまったり、メニューを消してしまったり、イライラさせられる。
iPhoneアプリにはあり得ないレスポンスの悪さ。"
コミックス購入が不便 "キングダムを購入しようとし、検索マークのマイページ→検索でキングダムと入力しても出てきません。

ホームのわかりにくいコミックストア欄から入って検索しないと出てきません。

とても分かりにくいです。分かりにくいためKindleで購入する場合もあるくらい。修正ください。"
直して アプデしてからひらかなくなった
課金詐欺 購入したはずの話数が数ヶ月するとなくなるという現象が起きるので課金はオススメできないです！
注）プレミアムチケットは消滅します "作品数はそこそこで良作もあり、無料の作品チケットの問題点も他の漫画アプリと同じ（24時間刻みなので昼休みとか、寝る前などの毎日同じ時間に見るには少しずつズレていき不便です）
私が気に入らなかったのはプレミアムチケット、多くの作品を時間縛りなく見られるものですが、マイページなどには使用期限も見当たらず、ポイントなどの履歴にも残らず、本当にこっそりと時間経過で消えます。
もともとがキャンペーンなどで無料配布されたものではあるのですがポイントも消えるのでは？という疑念が拭えず、他所で見られる作品は他のアプリで購入しています
各作品の作者や編集者の方々には感謝していますが、システム担当の方への評価ということにしておいてください"
広告 "重くて広告が途中で消えたりして
また見なきゃいけなかったりするのがなんどもある、時々、広告を、閉じるボタンが右上に極端に小さくあって押しにくい

やり方がセコイ、いいアプリなのにもったいない"
立ち読み専門アプリかな。 "他のもの読んでみたらみんな思ってるみたいだけど、ポイントが渋すぎる。

無料とは言ってるけどだいたいは途中で無料終わって読めなくなる。

マンガ買う前のお試しならいいけどそれなら他のアプリでもいいかなあ…と思う。

ただ他のアプリと比べると、ラインナップは他が載せていないのもあるからいいと思う。

ポイント頑張って貯めたいけど、最大ポイントなんて出たことはないし、1ポイントか5ポイントがせいぜいなので早く読みたい人、他のアプリで動画見れば1話見れるに慣れてる人(ほぼそうだろうけど)はストレス溜まるだろう。

動画沢山見せたい気持ちが
全面に出てるアプリ。"
広告見てもポイント貰えません！！ いい作品が多く毎日宝箱でポイントゲットのために広告を見てますが今日急に宝箱が表示されなくなりました。広告は見ました。その後何回やり直しても広告を見たあとに宝箱が表示されることはありませんでした。早急に治して欲しいです😫
うーん "2020/07/20 23時　元々他のアプリより重かったが、ただ今、動画報酬画面で動かなくなる。漫画もなかなか開かない。何か、しました？"
作品は良作が多いけど・・・ ジャンプ系の集英社のアプリやサンデー系の小学館のアプリに比べるとマガポケのポイントシステムはケチくさく感じる。同じように広告を見るなら上記の他社のアプリの方が良心的。
ポイントが... "1話あたりの購入のポイントが高すぎる。
100ポイント=100円は高すぎる！
4話以上読むなら単行本買った方が安い。
レートの見直しを要求する！"
微妙 無料で読めるのは良いけど集英社系とかマンガUPとかと比べるとセコく見えちゃいますね。なのでアンスト。
掲載ラインナップはいいんだけど "他のマンガアプリと比べて掲載ラインナップは強みだとは思う
が、それを読むための機能が酷すぎてだんだんアプリを開かなくなっていく
具体的にはポイントとチケットがあるが、後者は読みたいものが大して読めないので使えない。1枚1ポイントで引き取ってもらいたいレベル
ポイントは1日3回動画を見れば貰えるが、5ポイント安定たまに1ポイントという感じで、例えば私が読みたいものは60ポイント必要なので異常に遠い
初期ポイントなどもない。結局全然読めないのでもっとテンポ良く読める他のアプリに比べて劣る
ぶっちゃけシステム変えた方がいいのでは。削除しようか検討中"
最近 1ポイント率が上がった気がする
ポイントゲットの作品の制限をお願いしたい "ポイントゲットの作品で、センシティブ、グロテスクな内容が含まれることが気になります。
私個人としては、苦手な内容を目に入れることは極めて苦痛です。
苦手な人は少なからず居るので、全年齢作品をポイントゲット作品に追加するよう、お願いしたいです。宜しくお願い致します。"
お願い〜！ 話別コメ欄を作ってください！！！！
コメント機能が酷過ぎる "最近ジャンプ＋のリコピンを見てインストールしてみました。
面白い作品が多いのは大変良いのですが、コメント機能が各話ごとではなく作品単位なので、その話のコメントを見ようとしたらいきなり最新話のネタバレを食らいました。流石に酷過ぎると言わざるをえない。
それから、日付が変わるとお気に入り欄で更新された作品が確認できるが、無料更新の表示のみであり最新話更新の有無は作品ページに行かないと分からない。課金して最新話を読んでいるのに何故こんな不便を強いられなければいけないのか。
追記
チケット配布まで更新と称していて実際話が増えたのか全然分からん"
連載終了漫画 "連載漫画へのチケット化など素晴らしいんですが昔の作品を読みたいと思ってあGE〜グッドエンディング〜などはチケットじゃないので大変使いづらいです
連載終了漫画もチケット化してくださることを願ってます"
なんでなんですか "正直掲載されている作品にはとても満足しています。無料でこのクオリティはすごいと思います。
ですが…
他の人も言っていると思いますが、なぜ話ごとにコメント欄を分けないのでしょうか。そんなに難しいことでしょうか(難しいことだったらすいません)。話ごとにコメント欄が分かれていればネタバレをされることはありませんし、最新話を買った人も安心してコメントすることが出来ます。正直いまあるコメント欄は使う気になれません。作品1つにコメント欄1つではなく、話1つにコメント欄1つに変更お願いします。
長文失礼しました。"
他のアプリと比べて圧倒的に不便な点がある "漫画自体はいいんですけど、コメント欄が話ごとに分かれてないのは何故でしょうか？そこまで考えていなかったのでしょうか？
 ジャンプラやcomicoなどを見ていただけたら分かる通り、他の漫画アプリはコメント欄が回ごとに分かれているのにマガポケは全てごちゃまぜ。
 どの回のコメントをしているか分からないのでネタバレを食らったり盛り上がれなかったりします。
 コメント欄が他のアプリに比べて圧倒的に劣っているので治してください。そこをなおすだけで使いやすさは格段に上がります。"
神！絶対入れるべし！ "コメント欄毎話見れるようにして欲しい
あと最後だけポイントっていうのもめんどい
いい作品あるのになんかもったいない感じ"
作品は良いが "作品は良いものが多い。
が、作品によって、または話によってはチケットが必要だったり、ポイントが必要だったりする。チケットの場合は23時間で回復するから毎日読み進められるが、ポイント制の作品は課金、または1日三回の広告動画を視聴する事で手に入れられるポイントで読むことができるのだが溜まり具合が少なすぎて一週間に一度読み進められる程度しか貯まらない"
チケットない チケットはよ
無料チケットが更新されない タイトル通り無料チケットが更新されないです。
漫画の読み込み "連載やチケットで購入した漫画が真っ白で読み込めないことが多々。
以前はこんな事なくサクサク読み込んでいたのに…
iPhone8、Wi-Fi接続の環境でです。他のアプリは読み込めないことはないので、マガポケ側の問題だと思います。
読み込まなくてイライラするので、改善してください。"
めんどくさい いちいちポイント貯めてから読むのがだるい
読み込みが遅い 読み込みが遅すぎて使い物にならん
うーん… "広告につられて読み始めたものの、明らかに他のアプリに比べてポイントが渋い…大手出版社のプライドでもあるのか！？と勘ぐってしまいます。
フリーチケットで読める範囲を消化してしまったら、あとはポイントになるわけですが、1日に少なくとも1回は広告を見れば1話読めるアプリが大半の中で、三日四日頑張ってポイントを貯めてようやく1話読めるというのはあまりに…ポイント貯めてる間に前の話も忘れてしまうのでアンインストールしました。今時まだ紙の本に誘導したいんですかねー…ま、下衆の勘ぐりですが。"
漫画を無料で閲覧するのやめますわ。 "最新話になると1話につき80p消費はやりすぎな。1日でgetできるポイントが15p(広告を3本見て)なので、見れるのが6日目。
割に合わない。不快だし。
なので、他のアプリを利用するか原本を買いましょう。
オススメのアプリはMangaONEとマンガUP!です。良心的で使い勝手も良いので、まだ試したことのない人は是非。"
作品はいい "作品はいい作品が多いのですが
他の方が書かれている通り
動画視聴で5P最悪1Pと他のサイトに比べ最低すぎます(^^)
古本屋で買った方が本当に楽だと思います。"
途中から更新されない話がある "グッドアフタヌーンの漫画が掲載されてない。
または途中から最新話が更新されなくなっている。"
ポイント 普通にいいんだけど、ポイントが5しかでない
微妙　 "掲載作品はいいとして
チケット消費で、読めるやつはもう少し増やして欲しい
あとロードに時間かかりすぎ
データ重くないのにここまで遅いのは
アプリのせいだと思う"
暇潰しにならいいかも？ "無料って言ってもね…
完全無料、無料(チケット)、ポイント(課金)とある

例えば
1〜3話(試し読み程度)は完全無料
4話からはチケット必要
最新話付近の数話または最終話付近の数話はポイント(課金)

完全無料は試し読み程度の他サイトでも無料で公開されてる作品ばかり
殆どがチケット必要とする作品
1話必ず読めるチケット(どの作品も1日1話は無料で読める)、ログボのチケット2枚(有効期限1日のチケットで貯めることが不可)計3枚
完全無料を除いて1日無料で読める話数は1作品1話〜3話だけ
チケットが無くなればポイントで購入なんだけど課金したらダメ！
なぜかというと黒塗り規制
どうせ金払うのなら無修正の本を買ったほうがマシ

単行本を買うか買わないかで迷ってる分にはオススメ！
あくまでも試し読みが豊富な場所と思ったほうがいい
ただ電子書籍として購入や本格的に読む場所としては向いていない"
正直他のアプリでいい。 "課金すれば僕のような海外在住者にも毎週最新のマガジンが読めるがそれだけ。
他のアプリでも掲載されてるような漫画を1日たった一枚のチケットで読まなくてはならない。
動画視聴でポイントも貯まるが最大50ポイントとあるが当たるのは5ポイントのみ。50ポイントは当たらないにしても20ポイントや30ポイントなどすらなし。どこからどこまでもケチくさいアプリ。
満遍なく1日1話でいろんな話を読めばいいとはいうがやはり続きが気になるものも…
そんな時はこのアプリで課金するよりもレンタやkindle等に課金した方がストレスもなくお安めで読める。
他の無料アプリでも途中までは1日3話や4話程度のペースで読めるものもあるのでそちらで読み進めてからレンタルや課金することがおすすめ。
とにかくケチくさい。定期購読も解約して単行本をKindleで買うことにしました。"
ポイントが悪質 "漫画は面白いし、チケット性もありがたい
ただ、動画を視聴してゲームに参加！みたいな事書いて最大50ポインドが当たる！とか宣っていらっしゃるようですけれども！いっっっっかいも！50ポイントなんか当たりません！
なんなら1ポイントの時があります
ほとんどは5ポイントです。
なら最初から5ポイント固定にしてくれれば気分いいのにわざわざ煽るように50ポイントなんて書かれると腹が立って仕方ないです"
オイオイオイ 黒塗り多すぎて見てて面白くないものもある外してくんね？
掲載作品は素晴らしい "タイトル通り、掲載作品""は""素晴らしいです。
が、んー、なかなか酷いんじゃないかな。
GTOの原作漫画があります。最初から最後までチャージで無料で読めます。
しかし、最後の3話はチャージとは別のポイント制です。ポイントがないと見れません。ここまでは別にどうでもよい。問題はここから。
ポイントは課金か動画視聴、連携サービスへの登録などで獲得できます。今回酷いと感じているのは動画視聴で獲得できるポイントについてです。
1日たった3回しかみれない30秒動画を再生する画面では「動画広告をみて宝箱を開けよう！最大50ポイント！」と歌っていますが、実際の所は5ポイントしかでません。
30秒の動画を閲覧後、3つの宝箱が表示され、選んだ宝箱に応じてポイントが入るシステムとなっています。しかし、いままで何回もやっていますが5ポイント以外が出たことは1度もありません。これは間違いないです。
確率1%のウルトラレアを出す方がまだ簡単ですね。もはや詐欺を疑う。
まぁ確率一覧がある訳でもないですし、0.001%でも50ポイントが当たる確率があるなら最大50ポイントという謳い文句は問題ありません。
とはいえ、こういうセコいアプリを入れるぐらいなら中古で漫画買ったろうがストレス的に財布的にも有益だと思います。"
けち臭い 他の大手漫画アプリは昔の作品は最後までチケットで読めるものが多いが、マガポケさんは最後の3話がチケットじゃなくてポイントなのがけち臭い。
ポイント消滅 "1900円分ぐらいポイントを購入し、2週間後くらいに突如消滅。ポイント取得、使用履歴を見ても2週間で560ポイントしか使ってない。
運営に問い合わせるも、返信がないので泣き寝入り。どういうことすかね"
ロードが長い ロードがいちいち入るのが邪魔。長い。
1話購入が高い 他のアプリでは30〜40PTで読めるのに対して1話あたり80PTかかるものが多く、普通に本を購入するよりかなり高くつく作品が多い。
ポイント 最近1ポイントばかり出る。運営さん、告知もぜずにポイントの確率を変更してませんよね？
ポイントたまらないやつ。 他にもあるように、UI等は洗練されているように見えますので良いですが、ポイント付加が他のアプリに比べても極めて低いです。漫画を読ませてもらうのに1話40ポイント必要ですが、動画視聴してもひどいと1ポイント…あとは5ポイントとかなので中々たまりません。まぁ無料で読ませてもらってるので文句は言えませんのでおとなしく他のアプリを使います。まぁ1日1話なら見れますしね。
宝箱 "漫画が読めるのはありがたいけど、30秒の広告をみて5ポイント（時には1ポイント）しかもらえず、1話を読むのに50ポイント（100ポイントとかのもある）必要なのは流石に酷すぎる。他のアプリと比べて効率が悪すぎます。
改善よろしくお願いします。

あと、コメント欄もなぜ話数ごとにしないのか説明が必要だと思います。"
広告視聴を3回しても1話も読めない 広告を3回みても1話も読めないのは、他のアプリと比べて差がありすぎます。
操作性が悪い 操作性が悪い
無料ポイント獲得には注意 "ゲーム系は時間がかなり掛かる。目安は全くあてにならない。
しかもクリアしたのに入らない事がある。
確認不可の案件は時間の無駄になるのでやめた方がいい。
見てポイントもらえる動画もなかなか動画が出てこず再起動させられる事が多くイライラする。"
無料ポイントゲットできない 動画視聴で無料ポイントゲットできるが‥‥しょっちゅうエラーとか在庫がないとか表示がずっと出てポイントゲットできない。どうにかして。それが解消されれば★5。
無料ポイント 最近、動画視聴で無料ポイント獲得が出来ない
システムとしてあるなら？ "無料ポイントが動画視聴でもらえるやつ、エラーが出るのになぜなおさない？
音声だけで、絵が出なくてその後の✖️ボタンで無料ポイントも貰えない
時間の無駄をさせられる身になったら、エラーを治すべきじゃね(怒)

iPodからだけど、頻度が高くなった

それ以外はまぁええけど"
広告が音声しか流れない 在庫がないとも出る
広告開かない "漫画は面白いです。
ただ、広告が開けず宝箱を開ける回数が減り、もらえるポイントが少なくなりました。
課金しろってことですか？"
他の話 前まで右上に他の話タブがあったのに消えた。一々戻らないといけなくなった。なんでわざわざ不便にするのか？
漫画自体は最高 一つ一つの漫画のクオリティが高くて好きやったけど、毎日1話づつコツコツ見てやっと終わりかけってなった時なんと最後の3話全て課金しなきゃ見れないという、せっかくコツコツ見たのに、最後どうなったかわからない、広告を見て宝箱を開けて、ポイント「課金」を手に入れれるけど、最高で50ポイント、マンガを読むには60ポイント必要、だけどどれだけ広告みて開けても5ポイントとか1ポイントとか、めったに5ポイントはでないし、漫画一つ一つは最高なのに流石に最終話ぐらいは見させて欲しい、たぶんこの声は届かないけど
4G回線では開けない？ "ソフトバンクなのですが、アップデート済みで諸々容量も空きもあります。
機種を変更してもその様子は変わらず、、、周りにもそういう方はいるようで。単純に仕組みのせいなのか、いいアプリなだけにかなりクリティカルなエラーで残念です。"
遅い "鯖が重いのかわからないけど、マンガの表示が遅すぎる。
話をタップして漫画が表示されるまで2分ぐらいかかる。"
コメント "コメントが一話ごとに分かれてないっておかしいでしょ…
ネタバレめっちゃくらう"
無料なので 無料なので多くを求めてはいけないのだろう。無料のマンガアプリの中では最悪の部類。無料で読めるのは1日に1/4話ずつ。他のアプリではありえない。
アプリの意味が 今回のアプデで開けなくなりました
内容は良いが... 今回のアップデートをしたら、アプリが起動しなくなりました。
全然読めない 他にも漫画のアプリ入れてるけど、広告みて、コインをもらって一話見れる、とかじゃなくてこれは、広告みてポイントをもらう、それを貯めて40だか貯めたら一本見れるってシステムだから時間がかかりすぎる、せめて一回の広告で10ポイントは欲しい
エラー 広告(3回目)を観ようとすると必ずエラーになってポイントが手に入りません。早く対処してください。
通信エラー "最近になって通信エラーがひどくなった。特に日付変わってすぐくらい。
前までこんなことはなかったし、今でも読んでいる作品はいっぱいあるのでとても残念です。"
エラーがよく起こる 毎日漫画を読ませてもらってるんですけど最近アプリが開くのが遅いです。エラーもしょっちゅう出るので直してください。
開けなくなった アプリかわ開けん
微妙 漫画の種類は豊富だがアプデしてから使いにくくなった
なんだかなぁ・・・ "オリジナル作品は、どんなに面白い作品でも、エロとグロしか長続きできない。
作家が可哀想。

それと、コメント欄が話数で区切られてないから、みんなが何処の話にコメントしてるか判らん。"
2019/11アップデートしてから改悪された アップデート後、拡大するとページが切れます。スマホの画面で拡大しないで読むのは文字が小さすぎて無理。それから私の古いiPadではこのアプリをアップデートできなくて、起動さえできなくなりました。よって、私にとっては使えないアプリに成り下がってしまった。
コメントについて 毎話毎話でコメントできるようにしたほうがいい。
更新されて 最近アプリが更新されてからチャージ完了になった作品に更新がつくようになった。未読の話があれば使いやすいが、既読しかない作品でも更新マークがつくようになった。新しい話があるのかと思い開いてみるが、既読のものしかなくいつもがっかりさせられる。読む人の身になってアプリを作っているのか疑うを持ちつつある。
見れない 最近エラーが多い
バージョンアップ後、使いにくくなった "バージョンアップ後、マガジンが読みづらくなったし、今までiPhoneとiPadの既読フラグが共有されてたのに、バージョンアップ以降、共有されなくなった。
何を読んだか分かりづらい。
ジャンプ＋、サンデーうぇぶりと比較したら、同一マンガだけを連続で読めたりと一番使いやすいのは変わらないが、残念。"
アップデートで悪くなった アップデート後にお気に入りに登録したマンガが全て解除されるようになり、次の日ぐらいに見るとお気に入りに何も登録されていない状態になっている。
新機能 コメントでいいね👍がつけれるようになったけど、それによりいいね稼ぎをする人たちが増えている。マンガのコメントをいなくなっているのでこの機能はいらないかと思う。でも、他の機能には満足している。
広告のレイアウト 無料ポイントゲットの動画見終わった後に、✖︎をタップして閉じようとしても、iPhoneXRだと電池残量のところに重なって、広告を閉じることが出来ないことがある。
アップデートしてから不具合が多発 "アップデートしてから、課金して保有していたポイントが消えたり、お気に入り欄がリセットされてたりと不具合が多いです。
不具合が起こるのは仕方のないことですが、購入したポイントは早く返していただきたいです。"
気に入ってたが "貯めてたポイントと購入した作品が今日突然全部消えた。
お知らせにも何もない。"
中身はいいけど "アップデートしたら毎日CMをみたらspポイントが一つたまるシステムがなくなっていて最新がすぐに読めなくなりました。
わたしのスマホがおかしいのでしょうか？
